137;Adore You;Harry Styles;1.645.011,00
138;GREECE (feat. Drake);DJ Khaled;1.642.605,00
139;SICKO MODE;Travis Scott;1.636.772,00
140;Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit;Riton;1.633.209,00
141;Sand In My Boots;Morgan Wallen;1.632.752,00
142;Lil Bit;Nelly;1.631.951,00
143;MIDDLE CHILD;J. Cole;1.631.085,00
144;bad guy;Billie Eilish;1.627.994,00
145;Cigarette Daydreams;Cage The Elephant;1.622.511,00
146;Tyler Herro;Jack Harlow;1.614.705,00
147;XO Tour Llif3;Lil Uzi Vert;1.611.896,00
148;Real As It Gets (feat. EST Gee);Lil Baby;1.610.563,00
149;Ric Flair Drip (& Metro Boomin);Offset;1.609.876,00
150;Godzilla (feat. Juice WRLD);Eminem;1.607.621,00
151;Dear Maria-Count Me In;All Time Low;1.606.021,00
152;Country Again;Thomas Rhett;1.600.818,00
153;505;Arctic Monkeys;1.598.370,00
154;The Less I Know The Better;Tame Impala;1.593.944,00
155;Pop Out (feat. Lil Tjay);Polo G;1.591.685,00
156;Bubblegum Bitch;MARINA;1.583.573,00
157;The Hills;The Weeknd;1.580.155,00
158;7 Summers;Morgan Wallen;1.572.483,00
159;Drip Too Hard (Lil Baby & Gunna);Lil Baby;1.572.132,00
160;Cry Baby (feat. DaBaby);Megan Thee Stallion;1.570.362,00
161;HIGHEST IN THE ROOM;Travis Scott;1.569.566,00
162;Tennessee Whiskey;Chris Stapleton;1.565.309,00
163;Cover Me Up;Morgan Wallen;1.560.254,00
164;when the party's over;Billie Eilish;1.559.853,00
165;My Head & My Heart;Ava Max;1.557.735,00
166;Everybody Talks;Neon Trees;1.555.573,00
167;Diamonds Dancing (feat. Travis Scott);Young Stoner Life;1.552.984,00
168;death bed (coffee for your head);Powfu;1.548.853,00
169;WHOLE LOTTA MONEY;BIA;1.546.219,00
170;Hello (feat. A Boogie Wit da Hoodie);Pop Smoke;1.542.039,00
171;Go Crazy;Chris Brown;1.527.078,00
172;Don't Stop Believin';Journey;1.511.909,00
173;Be Like That - feat. Swae Lee & Khalid;Kane Brown;1.508.397,00
174;Street Runner;Rod Wave;1.507.113,00
175;Ballin' (with Roddy Ricch);Mustard;1.506.743,00
176;I Can't Handle Change;Roar;1.504.848,00
177;Chasin' You;Morgan Wallen;1.503.287,00
178;Opp Stoppa (feat. 21 Savage);YBN Nahmir;1.498.310,00
179;After Party;Don Toliver;1.494.930,00
180;GO (feat. Juice WRLD);The Kid LAROI;1.490.154,00
181;Chasing After You (with Maren Morris);Ryan Hurd;1.490.054,00
182;SAD!;XXXTENTACION;1.486.990,00
183;Shit Crazy (feat. BIG30);Gucci Mane;1.485.394,00
184;BODY IN MOTION (feat. Bryson Tiller-Lil Baby & Roddy Ricch);DJ Khaled;1.484.438,00
185;forget me too (feat. Halsey);Machine Gun Kelly;1.481.793,00
186;Roses - Imanbek Remix;SAINt JHN;1.480.701,00
187;Somebody’s Problem;Morgan Wallen;1.477.212,00
188;rockstar (feat. 21 Savage);Post Malone;1.468.250,00
189;Glad You Exist;Dan + Shay;1.465.851,00
190;Lemon Pepper Freestyle (feat. Rick Ross);Drake;1.456.064,00
191;Hayloft;Mother Mother;1.455.968,00
192;Dynamite;BTS;1.455.570,00
193;Tombstone;Rod Wave;1.452.368,00
194;Promiscuous;Nelly Furtado;1.450.262,00
195;Made For You;Jake Owen;1.447.971,00
196;Knock Knock;SoFaygo;1.447.078,00
197;Runnin;21 Savage;1.440.162,00
198;Mood Swings (feat. Lil Tjay);Pop Smoke;1.438.147,00
199;When It Rains It Pours;Luke Combs;1.438.037,00
200;The Way Life Goes (feat. Oh Wonder);Lil Uzi Vert;1.432.925,00
