63;lovely (with Khalid);Billie Eilish;8.352.599;https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4;;;;;
64;34+35;Ariana Grande;8.283.832;https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF;;;;;
65;Anyone;Justin Bieber;8.257.360;https://open.spotify.com/track/2WnAKZefdRHxtBEkRjFOHC;;;;;
66;Wellerman - Sea Shanty / 220 KID x Billen Ted Remix;Nathan Evans;8.112.296;https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN;;;;;
67;Batom de Cereja - Ao Vivo;Israel & Rodolffo;8.097.701;https://open.spotify.com/track/2MZQAvsA7aZDssppBLRxYp;;;;;
68;Roses - Imanbek Remix;SAINt JHN;8.089.780;https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb;;;;;
69;In the morning;ITZY;8.072.544;https://open.spotify.com/track/2QdH0rKlV3d9Y6lWzcnlBH;;;;;
70;My Head & My Heart;Ava Max;8.071.636;https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm;;;;;
71;Volta Bebê; Volta Neném;Dj Guuga;8044699;https://open.spotify.com/track/4wQUopWk9Ed7Ng5qpKN5qd;;;;
72;durag activity (with Travis Scott);Baby Keem;7.939.784;https://open.spotify.com/track/4JJcP0Rv9AgyPD6ZGaC8EE;;;;;
73;Before You Go;Lewis Capaldi;7.778.467;https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP;;;;;
74;you broke me first;Tate McRae;7.700.974;https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR;;;;;
75;Solid (feat. Drake);Young Stoner Life;7.586.146;https://open.spotify.com/track/6rTInqW3YECMkQsBEHw4sd;;;;;
76;WAP (feat. Megan Thee Stallion);Cardi B;7.566.359;https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih;;;;;
77;Levitating;Dua Lipa;7.532.880;https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP;;;;;
78;Another Love;Tom Odell;7.474.473;https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ;;;;;
79;bad guy;Billie Eilish;7.458.892;https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m;;;;;
80;Whoopty;CJ;7.345.513;https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO;;;;;
81;Reloj;Rauw Alejandro;7.290.673;https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J;;;;;
82;Circles;Post Malone;7.273.232;https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb;;;;;
83;Therefore I Am;Billie Eilish;7.155.134;https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha;;;;;
84;Shallow;Lady Gaga;7.143.610;https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B;;;;;
85;Martin & Gina;Polo G;7.096.417;https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ;;;;;
86;Heather;Conan Gray;7.081.694;https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA;;;;;
87;Holy (feat. Chance The Rapper);Justin Bieber;6.973.612;https://open.spotify.com/track/6Xgq7MvZiet0hVi3KaDSgJ;;;;;
88;Follow You;Imagine Dragons;6.962.013;https://open.spotify.com/track/7FdUvDkaE24o3FPIWTvzv2;;;;;
89;What You Know Bout Love;Pop Smoke;6.933.447;https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y;;;;;
90;Rasputin;Majestic;6.919.802;https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q;;;;;
91;Sunflower - Spider-Man: Into the Spider-Verse;Post Malone;6.896.535;https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY;;;;;
92;Snow Tha Product: Bzrp Music Sessions; Vol. 39;Bizarrap;6893936;https://open.spotify.com/track/3ke6it1vTmHtz2ApcIVUz5;;;;
93;Hawái;Maluma;6.808.934;https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp;;;;;
94;GIRL LIKE ME;Black Eyed Peas;6.807.233;https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta;;;;;
95;Believer;Imagine Dragons;6.702.649;https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP;;;;;
96;Prisoner (feat. Dua Lipa);Miley Cyrus;6.637.380;https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B;;;;;
97;goosebumps;Travis Scott;6.600.973;https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2;;;;;
98;Disco Arranhado - Funk Remix;Malu;6.582.800;https://open.spotify.com/track/2Gjt4rUHBUH0rMKpBg0hF4;;;;;
99;Wasted Love (feat. Lagique);Ofenbach;6.569.777;https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U;;;;;
100;You;Regard;6.565.136;https://open.spotify.com/track/2cc8Sw1OnCuA5bV8nqWqpE;;;;;
101;EVERY CHANCE I GET (feat. Lil Baby & Lil Durk);DJ Khaled;6.548.643;https://open.spotify.com/track/1EJIcDYXwSqipW5dFe4uJz;;;;;
102;Memories;Maroon 5;6.546.862;https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM;;;;;
103;For The Night (feat. Lil Baby & DaBaby);Pop Smoke;6.437.400;https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S;;;;;
104;Lucid Dreams;Juice WRLD;6.408.137;https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR;;;;;
105;Slumber Party (feat. Princess Nokia);Ashnikko;6.407.956;https://open.spotify.com/track/11ZulcYY4lowvcQm4oe3VJ;;;;;
106;BICHOTA;KAROL G;6.399.675;https://open.spotify.com/track/1WvrDdouh6C51In1SdATbq;;;;;
107;Shape of You;Ed Sheeran;6.398.017;https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3;;;;;
108;Take Me To Church;Hozier;6.391.191;https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI;;;;;
109;Body;Russ Millions;6.375.927;https://open.spotify.com/track/3CVb6hkMrlF7eHhXi5B3PZ;;;;;
110;What’s Next;Drake;6.375.508;https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz;;;;;
111;Adore You;Harry Styles;6.365.136;https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7;;;;;
112;Señorita;Shawn Mendes;6.346.553;https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2;;;;;
113;love race (feat. Kellin Quinn);Machine Gun Kelly;6.325.080;https://open.spotify.com/track/1F9kEuwT29fgqlovIclu81;;;;;
114;Liberdade (Quando o Grave Bate Forte);Alok;6.321.861;https://open.spotify.com/track/2QLbRVzixE282JSQjBz2DG;;;;;
115;death bed (coffee for your head);Powfu;6.282.587;https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx;;;;;
116;Miénteme;TINI;6.263.613;https://open.spotify.com/track/0cOa970mzTWAxKtltpkpLc;;;;;
117;Say You Won't Let Go;James Arthur;6.195.656;https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh;;;;;
118;Headshot (feat. Polo G & Fivio Foreign);Lil Tjay;6.191.920;https://open.spotify.com/track/4eNOLmx8r2IJAVKvBBL1jv;;;;;
119;POPSTAR (feat. Drake);DJ Khaled;6.127.103;https://open.spotify.com/track/1sbEeUY8KsdvgiQi26JBFz;;;;;
120;everything i wanted;Billie Eilish;6.105.802;https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ;;;;;
121;Aloha;Maluma;6.102.175;https://open.spotify.com/track/5RAIMjdrCEjpjaR5tBATXU;;;;;
122;LET IT GO (feat. Justin Bieber & 21 Savage);DJ Khaled;6.083.338;https://open.spotify.com/track/1cEhrSF6EylAEqdhUGuNpX;;;;;
123;Travesuras - Remix;Nio Garcia;6.063.508;https://open.spotify.com/track/0VWLId2RwPCno9s1cJm2Vy;;;;;
124;Cloud 9;Beach Bunny;6.055.970;https://open.spotify.com/track/6vFsBXYczYsP0H3lgunZOm;;;;;
125;Perfect;Ed Sheeran;6.040.890;https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v;;;;;
126;Breaking Me;Topic;6.039.849;https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po;;;;;
127;Choker;Twenty One Pilots;6.023.200;https://open.spotify.com/track/3ydI3CesHBnaY01Qff9jOr;;;;;
128;Dreams - 2004 Remaster;Fleetwood Mac;5.975.350;https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz;;;;;
129;Bohemian Rhapsody - Remastered 2011;Queen;5.947.984;https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv;;;;;
130;Shy Away;Twenty One Pilots;5.909.217;https://open.spotify.com/track/2z0IupRlVRlDN5r2IVqHyN;;;;;
131;Daddy Issues;The Neighbourhood;5.899.402;https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5;;;;;
132;TE MUDASTE;Bad Bunny;5.897.157;https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY;;;;;
133;Just the Way You Are;Bruno Mars;5.886.660;https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ;;;;;
134;La Nota;Manuel Turizo;5.840.824;https://open.spotify.com/track/5VzNsUnLmYcRfRfxpQsusa;;;;;
135;Lonely (with benny blanco);Justin Bieber;5.806.663;https://open.spotify.com/track/3S8jK1mGzQi24ilFb45DAZ;;;;;
136;The Box;Roddy Ricch;5.804.337;https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I;;;;;
137;Girl From Rio;Anitta;5.768.836;https://open.spotify.com/track/2plRom0urixt6BE8t7kOhQ;;;;;
138;Golden;Harry Styles;5.766.457;https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl;;;;;
139;Savage Love (Laxed - Siren Beat);Jawsh 685;5.765.801;https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c;;;;;
140;The Nights;Avicii;5.752.041;https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc;;;;;
141;No Te Enamores - Remix;Milly;5.718.218;https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt;;;;;
142;At My Worst;Pink Sweat$;5.707.097;https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH;;;;;
143;All of Me;John Legend;5.698.355;https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a;;;;;
144;HIGHEST IN THE ROOM;Travis Scott;5.689.147;https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW;;;;;
145;my ex's best friend (with blackbear);Machine Gun Kelly;5.686.246;https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl;;;;;
146;Break My Heart;Dua Lipa;5.681.856;https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT;;;;;
147;L-Gante: Bzrp Music Sessions; Vol.38;Bizarrap;5679819;https://open.spotify.com/track/1Crj1zkRMpsEjb9NOR6Zof;;;;
148;On The Ground;ROSÉ;5.655.879;https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ;;;;;
149;Laugh Now Cry Later (feat. Lil Durk);Drake;5.646.784;https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI;;;;;
150;Yellow;Coldplay;5.640.374;https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg;;;;;
151;Wake Me Up;Avicii;5.628.366;https://open.spotify.com/track/0nrRP2bk19rLc0orkWPQk2;;;;;
152;UN DIA (ONE DAY) (Feat. Tainy);J Balvin;5.616.494;https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e;;;;;
153;7 rings;Ariana Grande;5.602.016;https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF;;;;;
