160;Ancora in due;Deddy;328.595,00
161;TOP BOY ⨳ (con GEOLIER);MACE;327.257,00
162;Eterno Paradosso;Caparezza;325.581,00
163;Mama (feat. Nitro);Gemitaiz;324.940,00
164;MOVIE (feat. Central Cee);Rondodasosa;324.595,00
165;CRUDELIA - I nervi;Marracash;323.787,00
166;SQUALI (feat. VillaBanks & Touché);TY1;320.578,00
167;Occhi Lucidi;Leon Faun;320.419,00
168;Head Shoulders Knees & Toes (feat. Norma Jean Martine);Ofenbach;320.066,00
169;Body (Remix) [feat. ArrDee-E1(3x3)-ZT(3x3)-Bugzy Malone-Buni-Fivio Foreign & Darkoo];Tion Wayne;319.085,00
170;VENT'ANNI;Måneskin;317.552,00
171;CON(TORTA)...;Enula;315.633,00
172;IL MIO AMICO (feat. Fabri Fibra);Madame;315.364,00
173;SPLASH (feat. Enzo Dong);MV Killa;314.663,00
174;Good Times;Ghali;312.342,00
175;Je ne sais pas (feat. Sfera Ebbasta);Lous and The Yakuza;310.200,00
176;Whoopty;CJ;308.892,00
177;Arcade;Duncan Laurence;306.881,00
178;IL CIELO NELLA STANZA (feat. NSTASIA);Salmo;301.686,00
179;Paloma (feat. Anitta);Fred De Palma;301.133,00
180;Lovefool;twocolors;300.789,00
181;Fiori di Chernobyl;Mr.Rain;299.503,00
182;MIA;Lortex;297.346,00
183;Crepe;Irama;296.450,00
184;Babyma (feat. MV Killa);Guè Pequeno;296.221,00
185;Don't Worry;Boomdabash;293.782,00
186;non +;sangiovanni;293.136,00
187;VIA DA QUI (feat. Ernia & Tiromancino);TY1;291.057,00
188;Someone You Loved;Lewis Capaldi;289.749,00
189;Karaoke;Boomdabash;286.686,00
190;Wagyu (feat. Night Skinny);Guè Pequeno;285.260,00
191;RAPSTAR;Polo G;285.243,00
192;Run;OneRepublic;284.633,00
193;Azzera Pace;Caparezza;284.437,00
194;Watermelon Sugar;Harry Styles;283.061,00
195;22-set;Ultimo;278.928,00
196;Lalalalalalalalalala;Mikolas Josef;274.378,00
197;Te lo prometto;Il Tre;274.107,00
198;Exuvia;Caparezza;273.542,00
199;Dancing On Dangerous (feat. Sofía Reyes);Imanbek;272.895,00
200;Dove e quando;Benji & Fede;272.677,00
